,pointsAway,stopLoss,trailingStop,breakevenTrigger,breakevenDistance,maxSlippage,iip_est,fd_est,pnc_est,gainRate,score,prob
220261,22.098515072418095,8.664310539439331,10.466351393921057,3.1622776601683795,0.5,50.0,True,1023.8621598416288,2.0,0.02386215984162887,0.033746190075546176,6.958479697871533e-06
113001,6.9164313901912315,4.162766037009366,6.101450253462534,12.500000000000002,2.1908902300206647,50.0,True,1031.0715206071707,4.0488888888888885,0.031071520607170777,0.06252165089449377,9.060812045597123e-06
101742,3.3209511122689697,4.162766037009366,1.670950968658522,2.0,0.0,50.0,True,1081.305039132926,7.0,0.08130503913292597,0.21511291388209675,2.370948262420558e-05
12591,3.3209511122689697,2.0,20.000000000000004,7.90569415042095,2.1908902300206647,50.0,True,1313.9406892551892,6.1952380952380945,0.31394068925518925,0.7814057602058347,9.154870837412466e-05
55065,2.938726824968479,2.8853998118144273,2.309835482612364,4.999999999999999,2.1908902300206647,50.0,True,1024.279388627489,3.0,0.024279388627489018,0.042053134679520966,7.080148400748567e-06
59349,3.7528892431840113,2.8853998118144273,17.953848175500134,4.999999999999999,2.1908902300206647,50.0,True,1313.9406892551892,6.548571428571428,0.31394068925518925,0.8033797707188467,9.154870837412466e-05
70657,8.308774470916129,2.8853998118144273,5.477225575051661,7.90569415042095,0.5,50.0,True,1066.5085578431374,4.67063492063492,0.06650855784313747,0.14373597915780512,1.9394658847218384e-05
13242,3.5303203404753782,2.0,9.395564193894643,12.500000000000002,0.0,50.0,True,1332.1493385441356,7.099015151515152,0.33214933854413564,0.8849779366498147,9.68585595042706e-05
13652,3.7528892431840113,2.0,2.309835482612364,2.0,1.0466351393921056,50.0,True,1203.4055829004326,7.0,0.20340558290043265,0.538160587636677,5.931540264754879e-05
57440,3.3209511122689697,2.8853998118144273,12.987937983388651,4.999999999999999,1.0466351393921056,50.0,True,1310.370264285714,6.268571428571429,0.310370264285714,0.7770776094544557,9.050753147195991e-05
11409,3.123998738481456,2.0,8.434326653017491,12.500000000000002,2.1908902300206647,50.0,True,1195.1674122315594,7.0,0.19516741223155942,0.5163644367887318,5.691305752341011e-05
97843,2.4462696069746497,4.162766037009366,9.395564193894643,12.500000000000002,0.5,50.0,True,1004.3974727654698,4.0,0.0043974727654698675,0.008794945530939735,1.2823535322683627e-06
13082,3.5303203404753782,2.0,6.101450253462534,3.1622776601683795,1.0466351393921056,50.0,True,1214.4992303363306,7.0,0.21449923033633067,0.5675116198846925,6.255043757189667e-05
70280,8.308774470916129,2.8853998118144273,1.8613847597739017,2.0,1.0466351393921056,50.0,True,1079.8373470289946,5.0,0.07983734702899459,0.17852173510007277,2.3281486760641047e-05
13274,3.5303203404753782,2.0,10.466351393921057,7.90569415042095,1.0466351393921056,50.0,True,1349.2171615079365,7.1656818181818185,0.34921716150793647,0.9348121276659812,0.00010183573258368648
11510,3.123998738481456,2.0,11.659173333328571,7.90569415042095,1.0466351393921056,50.0,True,1310.370264285714,6.268571428571429,0.310370264285714,0.7770776094544557,9.050753147195991e-05
114109,7.352477526720337,4.162766037009366,11.659173333328571,7.90569415042095,0.5,50.0,True,1036.2491256132757,3.2644017094017093,0.03624912561327576,0.06549367094167562,1.0570661093533104e-05
13411,3.5303203404753782,2.0,16.117033215445485,4.999999999999999,0.5,50.0,True,1306.5240295329672,6.279999999999999,0.3065240295329672,0.7681470163175014,8.938592527126951e-05
115501,8.308774470916129,4.162766037009366,3.556893304490063,3.1622776601683795,0.5,50.0,True,1026.3438563085606,4.0,0.02634385630856051,0.05268771261712102,7.68217087235176e-06
57334,3.3209511122689697,2.8853998118144273,9.395564193894643,4.999999999999999,4.5861254025809615,50.0,True,1351.391081962482,7.1656818181818185,0.35139108196248214,0.9406314499373016,0.00010246967274032533
63536,5.094762110782888,2.8853998118144273,6.796816140830003,12.500000000000002,1.0466351393921056,50.0,True,1027.2214031997414,4.43875350140056,0.027221403199741312,0.057351003616045,7.938073618236438e-06
